JHU,GCP
US_Tennessee,United States of America_Tennessee
US_Texas,United States of America_Texas
US_Utah,United States of America_Utah
US_Vermont,United States of America_Vermont
US_Virgin Islands,United States of America_Virgin Islands
US_Virginia,United States of America_Virginia
US_Washington,United States of America_Washington
US_West Virginia,United States of America_West Virginia
US_Wisconsin,United States of America_Wisconsin
US_Wyoming,United States of America_Wyoming
Uganda_,Uganda_
Ukraine_Cherkasy Oblast,Ukraine_Cherkasy
Ukraine_Chernihiv Oblast,Ukraine_Chernihiv
Ukraine_Chernivtsi Oblast,Ukraine_Chernivtsi
Ukraine_Crimea Republic*,
