JHU,GCP
Switzerland_,Switzerland_Vaud
Switzerland_,Switzerland_Zug
Switzerland_,Switzerland_Zürich
Tokelau_,Tokelau_
Tonga_,Tonga_
Turkmenistan_,Turkmenistan_
Turks and Caicos Islands_,Turks and Caicos Islands_
Tuvalu_,Tuvalu_
United States_,United States Virgin Islands_
United Kingdom_,United Kingdom_England
United Kingdom_,United Kingdom_Northern Ireland
United Kingdom_,United Kingdom_Scotland
United Kingdom_,United Kingdom_North East England
United Kingdom_,United Kingdom_North West England
United Kingdom_,"United Kingdom_Yorkshire and the Humber, England"
United Kingdom_,"United Kingdom_East Midlands, England"
United Kingdom_,"United Kingdom_West Midlands, England"
United Kingdom_,United Kingdom_East of England
United Kingdom_,United Kingdom_London Region
United Kingdom_,United Kingdom_South East England
United Kingdom_,United Kingdom_South West England
United Kingdom_,United Kingdom_Wales
Uruguay_,Uruguay_Artigas Department
Uruguay_,Uruguay_Canelones Department
Uruguay_,Uruguay_Cerro Largo Department
Uruguay_,Uruguay_Colonia Department
Uruguay_,Uruguay_Durazno Department
Uruguay_,Uruguay_Flores Department
Uruguay_,Uruguay_Florida Department
Uruguay_,Uruguay_Lavalleja Department
Uruguay_,Uruguay_Maldonado Department
Uruguay_,Uruguay_Montevideo Department
Uruguay_,Uruguay_Paysandú Department
Uruguay_,Uruguay_Río Negro Department
Uruguay_,Uruguay_Rivera Department
Uruguay_,Uruguay_Rocha Department
Uruguay_,Uruguay_Salto Department
Uruguay_,Uruguay_San José Department
Uruguay_,Uruguay_Soriano Department
Uruguay_,Uruguay_Tacuarembó Department
Uruguay_,Uruguay_Treinta y Tres Department
Venezuela_,Venezuela_Amazonas
Venezuela_,Venezuela_Anzoátegui
Venezuela_,Venezuela_Apure
Venezuela_,Venezuela_Aragua
Venezuela_,Venezuela_Barinas
Venezuela_,Venezuela_Bolívar
Venezuela_,Venezuela_Capital District
Venezuela_,Venezuela_Carabobo
Venezuela_,Venezuela_Cojedes
Venezuela_,Venezuela_Delta Amacuro
Venezuela_,Venezuela_Falcón
Venezuela_,Venezuela_Guárico
Venezuela_,Venezuela_Lara
Venezuela_,Venezuela_Mérida
Venezuela_,Venezuela_Miranda
Venezuela_,Venezuela_Monagas
Venezuela_,Venezuela_Nueva Esparta
Venezuela_,Venezuela_Portuguesa
Venezuela_,Venezuela_Sucre
Venezuela_,Venezuela_Táchira
Venezuela_,Venezuela_Trujillo
Venezuela_,Venezuela_Vargas
Venezuela_,Venezuela_Yaracuy
Venezuela_,Venezuela_Zulia
Wallis and Futuna_,Wallis and Futuna_
Western Sahara_,Western Sahara_
